,Provincias,Información de cada Provincia
10,Bizkaia,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Bizkaia presenta una media de 1.584 horas de sol anuales y de 1.292 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
11,Burgos,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Burgos presenta una media de 2.183 horas de sol anuales y de 1.573 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
12,Cáceres,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Cáceres presenta una media de 2.890 horas de sol anuales y de 1.821 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
13,Cádiz,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Cádiz presenta una media de 2.538 horas de sol anuales y de 1.927 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
14,Cantabria,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Cantabria presenta una media de 1.638 horas de sol anuales y de 1.336 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
15,Castellón/Castelló,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Castellón/Castelló presenta una media de 2.689 horas de sol anuales y de 1.737 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
16,Ceuta,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Ceuta presenta una media de 0 horas de sol anuales y de 1.792 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
17,Ciudad Real,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Ciudad Real presenta una media de 2.656 horas de sol anuales y de 1.836 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
18,Córdoba,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Córdoba presenta una media de 2.800 horas de sol anuales y de 1.869 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
19,"Coruña, A","España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Coruña, A presenta una media de 1.966 horas de sol anuales y de 1.409 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
20,Cuenca,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Cuenca presenta una media de 2.572 horas de sol anuales y de 1.726 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
21,Gipuzkoa,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Gipuzkoa presenta una media de 1.724 horas de sol anuales y de 1.296 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
22,Girona,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Girona presenta una media de 2.290 horas de sol anuales y de 1.591 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
23,Granada,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Granada presenta una media de 2.751 horas de sol anuales y de 1.898 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
24,Guadalajara,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Guadalajara presenta una media de 2.440 horas de sol anuales y de 1.759 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
25,Huelva,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Huelva presenta una media de 2.998 horas de sol anuales y de 1.905 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
26,Huesca,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Huesca presenta una media de 2.682 horas de sol anuales y de 1.737 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
27,Jaén,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Jaén presenta una media de 0 horas de sol anuales y de 1.891 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
28,León,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. León presenta una media de 2.624 horas de sol anuales y de 1.639 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
29,Lleida,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Lleida presenta una media de 2.685 horas de sol anuales y de 1.748 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
30,Lugo,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Lugo presenta una media de 1.821 horas de sol anuales y de 1.398 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
31,Madrid,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Madrid presenta una media de 2.769 horas de sol anuales y de 1.781 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
32,Málaga,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Málaga presenta una media de 2.815 horas de sol anuales y de 1.898 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
33,Melilla,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Melilla presenta una media de 2.528 horas de sol anuales y de 1.858 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
34,Murcia,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Murcia presenta una media de 2.797 horas de sol anuales y de 1.872 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
35,Navarra,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Navarra presenta una media de 2.201 horas de sol anuales y de 1.475 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
36,Ourense,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Ourense presenta una media de 2.043 horas de sol anuales y de 1.500 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
37,Palencia,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Palencia presenta una media de 0 horas de sol anuales y de 1.683 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
38,"Palmas, Las","España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Palmas, Las presenta una media de 2.805 horas de sol anuales y de 1.847 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
39,Pontevedra,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Pontevedra presenta una media de 2.223 horas de sol anuales y de 1.489 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
40,"Rioja, La","España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Rioja, La presenta una media de 2.242 horas de sol anuales y de 1.540 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
41,Salamanca,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Salamanca presenta una media de 2.586 horas de sol anuales y de 1.723 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
42,Santa Cruz de Tenerife,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Santa Cruz de Tenerife presenta una media de 2.851 horas de sol anuales y de 1.971 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
43,Segovia,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Segovia presenta una media de 2.480 horas de sol anuales y de 1.661 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
44,Sevilla,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Sevilla presenta una media de 2.898 horas de sol anuales y de 1.909 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
45,Soria,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Soria presenta una media de 2.511 horas de sol anuales y de 1.635 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
46,Tarragona,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Tarragona presenta una media de 2.509 horas de sol anuales y de 1.697 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
47,Teruel,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Teruel presenta una media de 2.596 horas de sol anuales y de 1.726 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
48,Toledo,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Toledo presenta una media de 2.847 horas de sol anuales y de 1.825 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
49,Valencia/València,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Valencia/València presenta una media de 2.660 horas de sol anuales y de 1.796 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
50,Valladolid,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Valladolid presenta una media de 2.534 horas de sol anuales y de 1.701 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
51,Zamora,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Zamora presenta una media de 2.587 horas de sol anuales y de 1.719 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
52,Zaragoza,"España tiene unas condiciones de radiación solar que permiten una considerable producción de energía eléctrica mediante módulos fotovoltaicos. Zaragoza presenta una media de 2.614 horas de sol anuales y de 1.745 horas de sol pico anuales (kWh/m2 año). Además, la electricidad producida por los módulos fotovoltacios puede ser autoconsumida en su vivienda o negocio, reduciendo su factura de la luz."
